time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1771525731346000000,0.299999755859375,45,1.5,0.6243807077407837,22.110000610351562,0,0,4.300000190734863,-74.4344524,40.5205385
1771525733028646000,1.98264599609375,45,0.07211102545261383,0.6314088702201843,14.133000373840332,1.4051035642623901,292.4713134765625,4.300000190734863,-74.4346667,40.5206059
1771525733615818200,2.569818359375,45,0.07211102545261383,0.6324282288551331,11.473999977111816,1.317169189453125,292.4713134765625,4.300000190734863,-74.4346737,40.5206081
1771525734615863300,3.56986328125,86.78150939941406,0.8490583300590515,0.6389212012290955,9.670999526977539,0.15373145043849945,221.3026885986328,4.300000190734863,-74.4346398,40.5204596
1771525735615932200,4.56993212890625,1.5793513059616089,0.05656854063272476,0.6454116106033325,8.513999938964844,1.7783615589141846,348.9952697753906,4.300000190734863,-74.4346373,40.5204326
1771525736615606800,5.569606689453125,1.9827100038528442,0.0707106813788414,0.6518401503562927,4.849999904632568,1.730076789855957,346.0036926269531,4.300000190734863,-74.4346423,40.52044
1771525737615728000,6.56972802734375,27.208181381225586,0.8237718343734741,0.6583454608917236,4.672999858856201,1.6218547821044922,347.69287109375,4.300000190734863,-74.4346478,40.5204533
1771525738616165400,7.570165283203125,28.04392433166504,0.8544003963470459,0.664850652217865,3.9030001163482666,1.6193349361419678,348.7998962402344,4.300000190734863,-74.4346524,40.5204655
1771525739615201000,8.569200927734375,26.924488067626953,0.8490583300590515,0.671347439289093,3.884000062942505,1.678603172302246,348.1086730957031,4.300000190734863,-74.4346555,40.5204791
1771525740615313400,9.5693134765625,27.43793296813965,0.8544003963470459,0.6778514385223389,3.805999994277954,1.6631344556808472,347.1688537597656,4.300000190734863,-74.4346593,40.5204942
1771525741215228400,10.169228515625,180,1.5,0.6393661499023438,9.288999557495117,1.6660740375518799,347.21282958984375,5,-74.4346615,40.5205042
1771525741615424300,10.56942431640625,180,0.24382446706295013,0.6451219320297241,8.92199993133545,1.939617395401001,46.47785568237305,5,-74.4346583,40.5205037
1771525741734588200,10.688588134765626,180,0.24382446706295013,0.6451219320297241,9.35200023651123,1.8178611993789673,51.9322395324707,5,-74.4346579,40.5205026
1771525742200192300,11.154192138671876,180,0.2797739803791046,0.6451219320297241,9.098999977111816,1.6878734827041626,58.28138732910156,5,-74.4346543,40.5205038
1771525742616023300,11.570023193359376,97.82768249511719,0.20320942997932434,0.6516283750534058,9.440999984741211,1.6401939392089844,38.70612716674805,5,-74.4346537,40.5205072
1771525742718723600,11.6727236328125,98.06293487548828,0.20320942997932434,0.6516283750534058,9.133999824523926,1.4889698028564453,28.018962860107422,5,-74.4346558,40.5205075
1771525743197179600,12.1511796875,100.19583892822266,0.24406585097312927,0.6516283750534058,8.97700023651123,1.3844852447509766,13.696111679077148,5,-74.4346563,40.5205109
1771525743615957000,12.56995703125,65.0671157836914,0.19947363436222076,0.6581282019615173,8.812999725341797,1.4055180549621582,358.4485168457031,5,-74.4346604,40.5205165
1771525743699940900,12.65394091796875,65.17387390136719,0.19947363436222076,0.6581282019615173,9.133999824523926,1.4173561334609985,353.92938232421875,5,-74.4346626,40.5205176
1771525744179148300,13.133148193359375,64.0182876586914,0.23159180581569672,0.6581282019615173,9.065999984741211,1.4295085668563843,350.62103271484375,5,-74.4346649,40.5205228
1771525744615384300,13.56938427734375,36.516719818115234,0.20513516664505005,0.6646249294281006,9.317000389099121,1.4284247159957886,346.03533935546875,5,-74.4346706,40.5205322
1771525744676116000,13.630115966796875,36.40808868408203,0.20513516664505005,0.6646249294281006,9.130000114440918,1.4309642314910889,345.41644287109375,5,-74.4346725,40.5205344
1771525745215948300,14.1699482421875,36.570045471191406,0.25143498182296753,0.6646249294281006,9.03600025177002,1.4290308952331543,344.76568603515625,5,-74.4346759,40.5205418
1771525745615523600,14.569523681640625,27.94220733642578,0.19042174518108368,0.6711258292198181,9.204000473022461,1.4209002256393433,344.136474609375,5,-74.4346799,40.5205511
