time,seconds_elapsed,z,y,x
1772467503958700000,0.137699951171875,0,0,0
1772467503968700400,0.147700439453125,0.023534178733825684,-0.009163856506347656,0.02048952877521515
1772467503978701000,0.157701171875,0.10489654541015625,-0.034338951110839844,0.05024854838848114
1772467503988702200,0.1677021484375,0.13689982891082764,-0.09356021881103516,0.04634532332420349
1772467503998704000,0.1777041015625,0.0922766923904419,-0.1435108184814453,0.027090758085250854
1772467504008707300,0.187707275390625,0.04393494129180908,-0.15935039520263672,0.020273268222808838
1772467504018711000,0.1977109375,0.0625605583190918,-0.12435150146484375,-0.009270265698432922
1772467504028716300,0.20771630859375,0.0644838809967041,-0.06299400329589844,0.03571687638759613
1772467504038722300,0.217722412109375,0.07199549674987793,-0.022317886352539062,0.0846223458647728
1772467504048729300,0.227729248046875,0.11100447177886963,0.005181312561035156,0.04761771112680435
1772467504058737200,0.237737060546875,0.09211528301239014,0.012622833251953125,0.014721743762493134
1772467504068746000,0.24774609375,-0.007539868354797363,0.03706073760986328,0.042340025305747986
1772467504078755300,0.25775537109375,-0.11782348155975342,0.04672813415527344,0.037667930126190186
1772467504088766000,0.267765869140625,-0.16447198390960693,0.02510547637939453,-0.02413744479417801
1772467504098776800,0.27777685546875,-0.1164546012878418,0.014248847961425781,-0.059777989983558655
1772467504108787700,0.28778759765625,-0.06825459003448486,0.017739295959472656,-0.012810833752155304
1772467504118795500,0.29779541015625,-0.02355027198791504,0.08425712585449219,0.058476634323596954
1772467504128801500,0.307801513671875,0.009251832962036133,0.17908096313476562,0.053614646196365356
1772467504138807600,0.3178076171875,0.003963947296142578,0.19690990447998047,0.00430896133184433
1772467504148813300,0.327813232421875,0.008154511451721191,0.1779918670654297,-0.00985632836818695
1772467504158819300,0.3378193359375,-0.03322708606719971,0.15583133697509766,-0.054432131350040436
1772467504168825300,0.347825439453125,-0.026588916778564453,0.116668701171875,-0.0962575376033783
1772467504178831000,0.3578310546875,0.0580754280090332,0.03814697265625,-0.08111501485109329
1772467504188837000,0.367837158203125,0.11718416213989258,-0.01880645751953125,-0.010989174246788025
1772467504198843100,0.377843017578125,0.09669291973114014,-0.05984020233154297,-0.04433080554008484
1772467504208849200,0.38784912109375,0.017201662063598633,-0.04872703552246094,-0.05330165475606918
1772467504218855000,0.39785498046875,-0.09248900413513184,-0.04255199432373047,-0.020520932972431183
1772467504228861000,0.40786083984375,-0.10765719413757324,0.037491798400878906,-0.026823177933692932
1772467504238867000,0.417866943359375,-0.10587680339813232,0.1336374282836914,-0.02931828796863556
1772467504248872700,0.427872802734375,-0.05960869789123535,0.1066732406616211,-0.022132590413093567
1772467504258878700,0.437878662109375,0.0074803829193115234,0.011336326599121094,0.013338804244995117
1772467504268884700,0.447884765625,0.050518155097961426,-0.020904541015625,0.002210065722465515
1772467504278890500,0.457890380859375,0.004820585250854492,0.05448722839355469,0.01038224995136261
1772467504298903000,0.477903076171875,-0.05619168281555176,-0.02689647674560547,-0.010805949568748474
1772467504308908500,0.487908447265625,-0.03581345081329346,-0.08584022521972656,0.05328366160392761
1772467504318914300,0.497914306640625,0.01662898063659668,-0.07336235046386719,0.05127447843551636
1772467504328920000,0.507920166015625,0.002674579620361328,-0.028669357299804688,0.03532502055168152
1772467504338925800,0.51792578125,-0.029794812202453613,-0.05043601989746094,0.02819579839706421
1772467504348931600,0.527931640625,0.05530977249145508,-0.053046226501464844,-0.0032923370599746704
1772467504358937300,0.537937255859375,0.08705747127532959,-0.008931159973144531,0.05869495868682861
1772467504368943000,0.547943115234375,0.03954958915710449,0.09006118774414062,0.10051459074020386
1772467504378949000,0.55794921875,-0.0010086297988891602,0.2193317413330078,0.06151624023914337
1772467504398961000,0.5779609375,0.06695163249969482,0.014124870300292969,0.021977290511131287
1772467504408967200,0.58796728515625,0.18232905864715576,-0.13136768341064453,0.06704831123352051
1772467504418973200,0.59797314453125,0.15116751194000244,-0.1802988052368164,0.1296347975730896
1772467504428979200,0.607979248046875,0.004555106163024902,-0.10656452178955078,0.10731852054595947
1772467504438985200,0.617985107421875,-0.1193610429763794,-0.07675838470458984,-0.05954490602016449
1772467504448991500,0.627991455078125,-0.09945249557495117,-0.03831005096435547,-0.07331223785877228
1772467504458997500,0.63799755859375,-0.019045114517211914,-0.010004997253417969,-0.016708701848983765
1772467504469003500,0.64800341796875,0.06928420066833496,0.017729759216308594,0.04757075011730194
1772467504479009800,0.658009765625,0.047696471214294434,0.11545467376708984,0.05865900218486786
1772467504489016000,0.66801611328125,-0.04438948631286621,0.16448974609375,-0.038508713245391846
1772467504499022000,0.67802197265625,-0.07880330085754395,0.03412055969238281,-0.13329781591892242
1772467504509028000,0.688028076171875,-0.07979071140289307,-0.09389400482177734,-0.10883679986000061
1772467504519034000,0.6980341796875,-0.05183124542236328,-0.12572860717773438,-0.05167761445045471
1772467504529040100,0.7080400390625,-0.004709362983703613,-0.03484630584716797,-0.06609272956848145
1772467504539046000,0.7180458984375,-0.0012526512145996094,0.012212753295898438,-0.023506462574005127
1772467504549052000,0.728052001953125,-0.003294825553894043,0.03507804870605469,0.013691484928131104
1772467504559058000,0.738057861328125,-0.0019472837448120117,0.06721305847167969,0.012395516037940979
1772467504569064000,0.74806396484375,-0.0019649267196655273,0.0660867691040039,-0.0406523197889328
1772467504579069700,0.758069580078125,0.007123112678527832,0.08387088775634766,-0.03138825297355652
1772467504589075700,0.76807568359375,0.03480255603790283,0.040169715881347656,-0.012432947754859924
1772467504599081700,0.778081787109375,0.0335773229598999,-0.021602630615234375,0.011056765913963318
1772467504609087500,0.78808740234375,0.017530202865600586,-0.006882667541503906,0.010642781853675842
1772467504619093500,0.798093505859375,-0.0036858320236206055,0.012427330017089844,-0.022835910320281982
1772467504629099500,0.808099609375,-0.005820870399475098,0.03143024444580078,-0.018362179398536682
1772467504639105300,0.818105224609375,0.001200556755065918,0.02191925048828125,0.02381230890750885
1772467504649111300,0.828111328125,-0.0017099380493164062,0.022060394287109375,0.03273521363735199
1772467504659117300,0.838117431640625,0.0238800048828125,0.017455101013183594,0.041372150182724
1772467504669123000,0.848123046875,0.048944830894470215,0.017648696899414062,0.05901347100734711
1772467504679129000,0.858129150390625,0.03582155704498291,0.036690711975097656,0.06674055010080338
1772467504689123800,0.868123779296875,0.07040238380432129,0.036507606506347656,0.05056960880756378
1772467504699119400,0.878119384765625,0.08668947219848633,0.03612518310546875,0.04369731247425079
1772467504709116200,0.8881162109375,0.04230999946594238,0.02619171142578125,0.10313451290130615
1772467504719114500,0.898114501953125,0.06551659107208252,0.049228668212890625,0.10115817934274673
1772467504729115000,0.908114990234375,0.037366271018981934,0.015236854553222656,0.04780345410108566
1772467504739117000,0.918116943359375,-0.07067418098449707,0.02424335479736328,0.03288048505783081
1772467504749121300,0.928121337890625,-0.11663353443145752,0.04268360137939453,0.037194423377513885
1772467504759127600,0.93812744140625,-0.049428701400756836,0.05151176452636719,-0.010035261511802673
1772467504769135900,0.948135986328125,0.0025349855422973633,0.00368499755859375,-0.04258468747138977
